,vacancy_name,vacancy_link,employer_link,salary_min,salary_max,salary_unit
185,Python разработчик (Backend),https://ekaterinburg.hh.ru/vacancy/38901681?query=python,https://hh.ru/employer/2406247,,,
186,Automation QA (Python),https://ekaterinburg.hh.ru/vacancy/29323728?query=python,https://hh.ru/employer/213397,,,
187,Python разработчик (SberDevices),https://ekaterinburg.hh.ru/vacancy/37685908?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
188,QA Automation Engineer (Python),https://ekaterinburg.hh.ru/vacancy/37180431?query=python,https://hh.ru/employer/1049556,,,
189,Python разработчик SberDevices,https://ekaterinburg.hh.ru/vacancy/36286016?query=python,https://hh.ru/employer/3529?dpt=3529-3529-stat,,,
190,Программист Python,https://ekaterinburg.hh.ru/vacancy/38614624?query=python,https://hh.ru/employer/4508336,210001.0,299999.0,руб.
191,Разработчик C/Python,https://ekaterinburg.hh.ru/vacancy/35216674?query=python,https://hh.ru/employer/3144945,,,
192,Senior Python разработчик,https://ekaterinburg.hh.ru/vacancy/38846825?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
193,Python developer,https://ekaterinburg.hh.ru/vacancy/38308822?query=python,https://hh.ru/employer/137656,,,
194,Специалист по автотестированию (Python),https://ekaterinburg.hh.ru/vacancy/38825498?query=python,https://hh.ru/employer/87021,,,
195,Программист C++ (Computer Vision),https://ekaterinburg.hh.ru/vacancy/38365417?query=python,https://hh.ru/employer/173163,,,
196,Python разработчик,https://ekaterinburg.hh.ru/vacancy/37579037?query=python,https://hh.ru/employer/1740,,,
197,Junior Python developer,https://ekaterinburg.hh.ru/vacancy/38595676?query=python,https://hh.ru/employer/533,,,
198,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38724604?query=python,https://hh.ru/employer/703850,,,
199,Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/38292441?query=python,https://hh.ru/employer/78638,,,
200,Программист Python,https://ekaterinburg.hh.ru/vacancy/38827758?query=python,https://hh.ru/employer/976931,,,
201,Python разработчик (Big Data),https://ekaterinburg.hh.ru/vacancy/37700368?query=python,https://hh.ru/employer/3776?dpt=mts-3776-it,,,
202,"Python разработчик, SberDevices",https://ekaterinburg.hh.ru/vacancy/36795277?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
203,Программист Python,https://ekaterinburg.hh.ru/vacancy/38743736?query=python,https://hh.ru/employer/4603761,70000.0,140000.0,руб.
204,Python/Go Developer + Linux,https://ekaterinburg.hh.ru/vacancy/38480108?query=python,https://hh.ru/employer/1057,,,
205,Senior Python разработчик,https://ekaterinburg.hh.ru/vacancy/38824363?query=python,https://hh.ru/employer/18239,,,
206,Python-разработчик (удаленно),https://ekaterinburg.hh.ru/vacancy/38674184?query=python,https://hh.ru/employer/56119,,,
207,Системный программист Python/Rust,https://ekaterinburg.hh.ru/vacancy/38741822?query=python,https://hh.ru/employer/653947,,,
208,Backend разработчик Python,https://ekaterinburg.hh.ru/vacancy/38587671?query=python,https://hh.ru/employer/3185191,70000.0,120000.0,руб.
209,Python Developer,https://ekaterinburg.hh.ru/vacancy/38673674?query=python,https://hh.ru/employer/4508336,,200000.0,руб.
210,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",https://ekaterinburg.hh.ru/vacancy/38309097?query=python,https://hh.ru/employer/124,,,
211,Back-end Python/Django в сильный проект на всю страну,https://ekaterinburg.hh.ru/vacancy/38817547?query=python,https://hh.ru/employer/1660145,80000.0,150000.0,руб.
212,Python-разработчик аналитической системы,https://ekaterinburg.hh.ru/vacancy/37600781?query=python,https://hh.ru/employer/1740,,,
213,Senior Python разработчик,https://ekaterinburg.hh.ru/vacancy/38249504?query=python,https://hh.ru/employer/3125,,,
